"AvgAct","DownAct","Matching.Attribute","name","NodeType","selected","shared name","source_node","UpAct","ZeroAct"
"-1.0","1.0","PTPRJ","PTPRJ","S","false","PTPRJ","viralprotein","0.0","99.0"
"1.0","0.0","S1PR3","S1PR3","S","false","S1PR3","viralprotein","1.0","99.0"
"0.0","0.0","PTPN11","PTPN11","I","false","PTPN11","viralmirna","0.0","100.0"
"1.0","0.0","PLAT","PLAT","S","false","PLAT","viralprotein","1.0","99.0"
"-1.0","1.0","MET","MET","S","false","MET","viralprotein","0.0","99.0"
"-3.0","3.0","BLVRA","BLVRA","S","false","BLVRA","viralprotein","0.0","97.0"
"1.0","0.0","TGFB2","TGFB2","S","false","TGFB2","viralprotein","1.0","99.0"
"-1.0","1.0","MARK2","MARK2","S","false","MARK2","viralprotein","0.0","99.0"
"2.0","0.0","PNPLA2","PNPLA2","S","false","PNPLA2","viralprotein","2.0","98.0"
"1.0","0.0","ARF6","ARF6","S","false","ARF6","viralprotein","1.0","99.0"
"2.0","0.0","TBK1","TBK1","S","false","TBK1","viralprotein","2.0","98.0"
"-17.0","17.0","ATM","ATM","S","false","ATM","viralprotein","0.0","83.0"
"2.0","0.0","HEY2","HEY2","I","false","HEY2","viralprotein","2.0","98.0"
"-3.0","3.0","TNFRSF1A","TNFRSF1A","S","false","TNFRSF1A","viralprotein","0.0","97.0"
"-4.0","4.0","TXN","TXN","I","false","TXN","viralprotein","0.0","96.0"
"1.0","0.0","BSG","BSG","S","false","BSG","viralprotein","1.0","99.0"
"-9.0","9.0","FASN","FASN","S","false","FASN","viralprotein","0.0","91.0"
"-14.0","14.0","EPHB3","EPHB3","S","false","EPHB3","viralprotein","0.0","86.0"
"-1.0","5.0","TGFB1","TGFB1","S","false","TGFB1","viralprotein","4.0","91.0"
"-10.0","10.0","PRKAB1","PRKAB1","I","false","PRKAB1","viralprotein","0.0","90.0"
"-9.0","9.0","BMPR1A","BMPR1A","S","false","BMPR1A","viralprotein","0.0","91.0"
"-12.0","12.0","EP300","EP300","I","false","EP300","viralprotein","0.0","88.0"
"-18.0","18.0","BMPR2","BMPR2","S","false","BMPR2","viralprotein","0.0","82.0"
"-87.0","87.0","IMPDH2","IMPDH2","S","false","IMPDH2","viralprotein","0.0","13.0"
"-33.0","33.0","AKT1","AKT1","I","false","AKT1","viralprotein","0.0","67.0"
"13.0","0.0","NRG1","NRG1","S","false","NRG1","viralprotein","13.0","87.0"
"-29.0","32.0","RHOA","RHOA","S","false","RHOA","viralprotein","3.0","65.0"
"-72.0","72.0","ARNT","ARNT","I","false","ARNT","viralprotein","0.0","28.0"
"-78.0","78.0","PRKCD","PRKCD","I","false","PRKCD","viralprotein","0.0","22.0"
"21.0","0.0","CSNK2A1","CSNK2A1","I","false","CSNK2A1","viralprotein","21.0","79.0"
"-87.0","87.0","PPP2CB","PPP2CB","I","false","PPP2CB","viralprotein","0.0","13.0"
"61.0","0.0","SMAD2","SMAD2","I","false","SMAD2","viralprotein","61.0","39.0"
"-100.0","100.0","POFUT1","POFUT1","I","false","POFUT1","viralmirna","0.0","0.0"
"99.0","0.0","MAPK1","MAPK1","I","false","MAPK1","viralprotein","99.0","1.0"
"-100.0","100.0","BHLHE40","BHLHE40","T","false","BHLHE40","viralmirna;viralprotein","0.0","0.0"
"-100.0","100.0","TCF4","TCF4","T","false","TCF4","viralmirna;viralprotein","0.0","0.0"
"-100.0","100.0","GSK3A","GSK3A","S","false","GSK3A","viralprotein","0.0","0.0"
"-100.0","100.0","CEBPA","CEBPA","T","false","CEBPA","viralmirna;viralprotein","0.0","0.0"
"-55.0","55.0","JAK2","JAK2","S","false","JAK2","viralprotein","0.0","45.0"
"-45.4545454545455","45.4545454545455","EPAS1","EPAS1","I","false","EPAS1","viralmirna","0.0","54.5454545454545"
"-100.0","100.0","KLF5","KLF5","T","false","KLF5","viralmirna;viralprotein","0.0","0.0"
"-1.0","1.0","MAPK12","MAPK12","I","false","MAPK12","viralprotein","0.0","99.0"
"-68.0","68.0","PPP2R1A","PPP2R1A","S","false","PPP2R1A","viralprotein","0.0","32.0"
"-100.0","100.0","ESR1","ESR1","T","false","ESR1","viralmirna;viralprotein","0.0","0.0"
"-100.0","100.0","NR2C2","NR2C2","T","false","NR2C2","viralmirna;viralprotein","0.0","0.0"
"-100.0","100.0","ATF3","ATF3","T","false","ATF3","viralmirna;viralprotein","0.0","0.0"
"-100.0","100.0","ATF2","ATF2","I","false","ATF2","viralmirna","0.0","0.0"
"-28.0","28.0","EGLN1","EGLN1","I","false","EGLN1","viralprotein","0.0","72.0"
"-100.0","100.0","OS9","OS9","S","false","OS9","viralprotein","0.0","0.0"
"100.0","0.0","EXTL3","EXTL3","S","false","EXTL3","viralprotein","100.0","0.0"
"73.0","0.0","PLAU","PLAU","S","false","PLAU","viralprotein","73.0","27.0"
"100.0","0.0","ETS1","ETS1","T","false","ETS1","viralmirna;viralprotein","100.0","0.0"
"100.0","0.0","NOP2","NOP2","S","false","NOP2","viralprotein","100.0","0.0"
"100.0","0.0","TAF1","TAF1","T","false","TAF1","viralmirna;viralprotein","100.0","0.0"
"100.0","0.0","NF1","NF1","S","false","NF1","viralprotein","100.0","0.0"
"-6.0","40.0","TGFBR2","TGFBR2","S","false","TGFBR2","viralprotein","34.0","26.0"
"100.0","0.0","E2F4","E2F4","T","false","E2F4","viralmirna;viralprotein","100.0","0.0"
"100.0","0.0","IRF2","IRF2","T","false","IRF2","viralmirna;viralprotein","100.0","0.0"
"100.0","0.0","KMT2A","KMT2A","T","false","KMT2A","viralmirna;viralprotein","100.0","0.0"
"22.0","0.0","GSK3B","GSK3B","I","false","GSK3B","viralprotein","22.0","78.0"
"0.0","0.0","PRKACA","PRKACA","I","false","PRKACA","viralmirna","0.0","100.0"
"100.0","0.0","ELF1","ELF1","T","false","ELF1","viralmirna;viralprotein","100.0","0.0"
"-13.0","13.0","PPP2CA","PPP2CA","I","false","PPP2CA","viralprotein","0.0","87.0"
"100.0","0.0","STAT1","STAT1","T","false","STAT1","viralmirna;viralprotein","100.0","0.0"
"100.0","0.0","STAT2","STAT2","T","false","STAT2","viralmirna;viralprotein","100.0","0.0"
"100.0","0.0","NFKB1","NFKB1","T","false","NFKB1","viralmirna;viralprotein","100.0","0.0"
"100.0","0.0","MEF2A","MEF2A","T","false","MEF2A","viralmirna;viralprotein","100.0","0.0"
"100.0","0.0","MEF2C","MEF2C","T","false","MEF2C","viralmirna;viralprotein","100.0","0.0"
"100.0","0.0","FOS","FOS","T","false","FOS","viralmirna;viralprotein","100.0","0.0"
"50.0","0.0","SMAD4","SMAD4","I","false","SMAD4","viralmirna","50.0","50.0"
"100.0","0.0","SPI1","SPI1","T","false","SPI1","viralmirna;viralprotein","100.0","0.0"
"100.0","0.0","STAT3","STAT3","T","false","STAT3","viralmirna;viralprotein","100.0","0.0"
"100.0","0.0","TP53","TP53","T","false","TP53","viralmirna;viralprotein","100.0","0.0"
"100.0","0.0","RELA","RELA","T","false","RELA","viralmirna;viralprotein","100.0","0.0"
"100.0","0.0","E2F1","E2F1","T","false","E2F1","viralmirna;viralprotein","100.0","0.0"
"100.0","0.0","ATR","ATR","S","false","ATR","viralprotein","100.0","0.0"
