ligand	ligand_lfc	receptor	receptor_expression	ligand_cell_source	receptor_cell_target
CXCL10	0.864813442483173	CCR5	3.775147193169272	cycling_ta	CD4_MThi
CXCL10	0.864813442483173	CXCR4	12.401236172642541	cycling_ta	CD4_MThi
CXCL10	0.864813442483173	CCR1	3.9587765325786433	cycling_ta	CD4_MThi
CXCL10	0.864813442483173	CXCR3	9.138252559946833	cycling_ta	CD4_MThi
CXCL10	0.864813442483173	CXCR6	9.587736932311913	cycling_ta	CD4_MThi
CXCL10	0.864813442483173	CCR7	7.469331297549914	cycling_ta	CD4_MThi
CXCL10	0.864813442483173	CCR2	5.519197837482873	cycling_ta	CD4_MThi
CXCL10	0.864813442483173	CXCR4	12.801283499915955	cycling_ta	CD4_PD1
CXCL10	0.864813442483173	CXCR5	8.648366112777245	cycling_ta	CD4_PD1
CXCL10	0.864813442483173	CXCR3	6.337121769970819	cycling_ta	CD4_PD1
CXCL10	0.864813442483173	CXCR6	8.06737377508421	cycling_ta	CD4_PD1
CXCL10	0.864813442483173	CCR7	10.47172351926065	cycling_ta	CD4_PD1
CXCL10	0.864813442483173	CCR5	6.621713815819809	cycling_ta	CD4_activ_fos_hi
CXCL10	0.864813442483173	CXCR4	12.89533504858597	cycling_ta	CD4_activ_fos_hi
CXCL10	0.864813442483173	CXCR5	1.0744708613889984	cycling_ta	CD4_activ_fos_hi
CXCL10	0.864813442483173	CCR1	3.332184238681344	cycling_ta	CD4_activ_fos_hi
CXCL10	0.864813442483173	CXCR3	8.565425209971492	cycling_ta	CD4_activ_fos_hi
CXCL10	0.864813442483173	CCR9	1.0620260171158387	cycling_ta	CD4_activ_fos_hi
CXCL10	0.864813442483173	CXCR6	8.614358403785744	cycling_ta	CD4_activ_fos_hi
CXCL10	0.864813442483173	CCR7	5.9958625241562435	cycling_ta	CD4_activ_fos_hi
CXCL10	0.864813442483173	CCR10	3.9203413075506823	cycling_ta	CD4_activ_fos_hi
CXCL10	0.864813442483173	CCR2	6.259341023679606	cycling_ta	CD4_activ_fos_hi
CXCL10	0.864813442483173	CCR4	0.466454554543427	cycling_ta	CD4_activ_fos_lo
CXCL10	0.864813442483173	CCR5	5.805522839537491	cycling_ta	CD4_activ_fos_lo
CXCL10	0.864813442483173	CXCR4	13.14251373494517	cycling_ta	CD4_activ_fos_lo
CXCL10	0.864813442483173	CXCR5	0.37895899017390466	cycling_ta	CD4_activ_fos_lo
CXCL10	0.864813442483173	CCR1	2.382274029740697	cycling_ta	CD4_activ_fos_lo
CXCL10	0.864813442483173	CXCR3	7.976503176748922	cycling_ta	CD4_activ_fos_lo
CXCL10	0.864813442483173	CCR9	2.917929971827217	cycling_ta	CD4_activ_fos_lo
CXCL10	0.864813442483173	CXCR6	8.209189168739005	cycling_ta	CD4_activ_fos_lo
CXCL10	0.864813442483173	CCR7	6.817648933866678	cycling_ta	CD4_activ_fos_lo
CXCL10	0.864813442483173	CCR10	3.2179104958279923	cycling_ta	CD4_activ_fos_lo
CXCL10	0.864813442483173	CCR2	5.688865637479863	cycling_ta	CD4_activ_fos_lo
CXCL10	0.864813442483173	CCR5	5.3918243144314175	cycling_ta	CD4_memory
CXCL10	0.864813442483173	CXCR4	13.478594285991115	cycling_ta	CD4_memory
CXCL10	0.864813442483173	CXCR5	5.500883271592128	cycling_ta	CD4_memory
CXCL10	0.864813442483173	CXCR3	7.716915341582045	cycling_ta	CD4_memory
CXCL10	0.864813442483173	CCR9	1.1199453689659644	cycling_ta	CD4_memory
CXCL10	0.864813442483173	CXCR6	7.253129979022566	cycling_ta	CD4_memory
CXCL10	0.864813442483173	CCR7	10.340356410157655	cycling_ta	CD4_memory
CXCL10	0.864813442483173	CCR10	2.6179163364089226	cycling_ta	CD4_memory
CXCL10	0.864813442483173	CCR2	5.076513320830967	cycling_ta	CD4_memory
CXCL10	0.864813442483173	CCR4	0.6165110703116354	cycling_ta	CD8_IEL
CXCL10	0.864813442483173	CCR5	6.938551097718098	cycling_ta	CD8_IEL
