ligand	ligand_lfc	receptor	receptor_expression	ligand_cell_source	receptor_cell_target
CCL5	0.5138497468360639	CCR1	1.1314778486523636	cycling_ta	CD8_Trm
CCL5	0.5138497468360639	CXCR2	0.7008829787483426	cycling_ta	CD8_Trm
CCL5	0.5138497468360639	CCR4	1.5446634300821371	cycling_ta	CD8_Trm
CCL5	0.5138497468360639	SDC1	0.8428842964294981	cycling_ta	CD8_Trm
CCL5	0.5138497468360639	CXCR6	5.657546706618882	cycling_ta	CD8_Trm
CCL5	0.5138497468360639	GRM7	0.8549956651798795	cycling_ta	CD8_Trm
CCL5	0.5138497468360639	CCR7	1.8948221614596328	cycling_ta	CD8_Trm
CCL5	0.5138497468360639	CCR6	6.0124650735457905	cycling_ta	CD8_Trm
CCL5	0.5138497468360639	CCR10	0.734792261949917	cycling_ta	CD8_Trm
CCL5	0.5138497468360639	ACKR4	0.44716926845301463	cycling_ta	CD8_Trm
CCL5	0.5138497468360639	CCR8	0.21765856864948596	cycling_ta	CD8_Trm
CCL5	0.5138497468360639	CXCR3	4.671572816833244	cycling_ta	CD8_Trm
CCL5	0.5138497468360639	CCR5	3.518285768120798	cycling_ta	CD8_Trm
CCL5	0.5138497468360639	CCR2	2.0202503519031088	cycling_ta	CD8_Trm
CCL5	0.5138497468360639	CXCR4	11.994276317146669	cycling_ta	CD8_Trm
CCL5	0.5138497468360639	CD4	4.216270039221392	cycling_ta	CD8_Trm
CCL5	0.5138497468360639	CXCR5	0.6519279925315172	cycling_ta	CD8_Trm
CCL5	0.5138497468360639	CCR9	5.112158021741659	cycling_ta	CD8_Trm
CCL5	0.5138497468360639	ACKR1	1.3512737055803448	cycling_ta	CD8_Trm
ICAM1	0.592056900084828	CAV1	1.9335077762442974	cycling_ta	CD8_Trm
ICAM1	0.592056900084828	CDH5	0.696211766274978	cycling_ta	CD8_Trm
ICAM1	0.592056900084828	ITGAL	4.9998308312165465	cycling_ta	CD8_Trm
ICAM1	0.592056900084828	IL2RA	4.254030716929926	cycling_ta	CD8_Trm
ICAM1	0.592056900084828	IL2RG	7.247522162508918	cycling_ta	CD8_Trm
ICAM1	0.592056900084828	ITGAX	1.3662344101108683	cycling_ta	CD8_Trm
ICAM1	0.592056900084828	ITGAM	0.5171639528744758	cycling_ta	CD8_Trm
TNFSF10	0.908176270717715	TNFRSF10D	1.0908487603212098	cycling_ta	CD8_Trm
TNFSF10	0.908176270717715	RIPK1	3.1793865163274253	cycling_ta	CD8_Trm
TNFSF10	0.908176270717715	TNFRSF10B	3.1065730416447073	cycling_ta	CD8_Trm
TNFSF10	0.908176270717715	TNFRSF10C	0.21705965943608255	cycling_ta	CD8_Trm
CXCL11	0.9994205319382329	CCR1	1.1314778486523636	cycling_ta	CD8_Trm
CXCL11	0.9994205319382329	CXCR2	0.7008829787483426	cycling_ta	CD8_Trm
CXCL11	0.9994205319382329	CCR4	1.5446634300821371	cycling_ta	CD8_Trm
