from	to	source	database
CALM1	TRPC3	CellTalkDB	CellTalkDB
CALM1	TRPC3	Fantom5_LRdb	Fantom5_LRdb
CALM1	TRPC3	HPRD	HPRD
CALM1	TRPC3	HPRD_LRdb	HPRD_LRdb
CALM1	TRPC3	LRdb	LRdb
CALM1	TRPC3	TRIP	TRIP
CALM1	TRPC3	iTALK	iTALK
S100A10	TRPV6	CellTalkDB	CellTalkDB
S100A10	TRPV6	HPRD	HPRD
S100A10	TRPV6	TRIP	TRIP
WNT5A	FZD2	Baccin2019	Baccin2019
WNT5A	FZD2	CellCall	CellCall
WNT5A	FZD2	CellChatDB	CellChatDB
WNT5A	FZD2	CellPhoneDB	CellPhoneDB
WNT5A	FZD2	CellPhoneDB_Cellinker	CellPhoneDB_Cellinker
WNT5A	FZD2	CellTalkDB	CellTalkDB
WNT5A	FZD2	Cellinker	Cellinker
WNT5A	FZD2	EMBRACE	EMBRACE
WNT5A	FZD2	Fantom5_LRdb	Fantom5_LRdb
WNT5A	FZD2	HPMR_Cellinker	HPMR_Cellinker
WNT5A	FZD2	HPMR_LRdb	HPMR_LRdb
WNT5A	FZD2	HPMR_talklr	HPMR_talklr
WNT5A	FZD2	LRdb	LRdb
WNT5A	FZD2	NetPath	NetPath
WNT5A	FZD2	Ramilowski2015	Ramilowski2015
WNT5A	FZD2	Ramilowski2015_Baccin2019	Ramilowski2015_Baccin2019
WNT5A	FZD2	SIGNOR	SIGNOR
WNT5A	FZD2	SPIKE	SPIKE
WNT5A	FZD2	STRING_talklr	STRING_talklr
WNT5A	FZD2	Wang	Wang
WNT5A	FZD2	connectomeDB2020	connectomeDB2020
WNT5A	FZD2	iTALK	iTALK
WNT5A	FZD2	talklr	talklr
CXCL16	CXCR6	Baccin2019	Baccin2019
CXCL16	CXCR6	CellCall	CellCall
CXCL16	CXCR6	CellChatDB	CellChatDB
CXCL16	CXCR6	CellPhoneDB	CellPhoneDB
CXCL16	CXCR6	CellTalkDB	CellTalkDB
CXCL16	CXCR6	Cellinker	Cellinker
CXCL16	CXCR6	EMBRACE	EMBRACE
CXCL16	CXCR6	Fantom5_LRdb	Fantom5_LRdb
CXCL16	CXCR6	Guide2Pharma	Guide2Pharma
CXCL16	CXCR6	Guide2Pharma_CellPhoneDB	Guide2Pharma_CellPhoneDB
CXCL16	CXCR6	Guide2Pharma_Cellinker	Guide2Pharma_Cellinker
CXCL16	CXCR6	Guide2Pharma_LRdb	Guide2Pharma_LRdb
CXCL16	CXCR6	Guide2Pharma_talklr	Guide2Pharma_talklr
CXCL16	CXCR6	HPMR	HPMR
CXCL16	CXCR6	HPMR_Cellinker	HPMR_Cellinker
CXCL16	CXCR6	HPMR_LRdb	HPMR_LRdb
CXCL16	CXCR6	HPMR_talklr	HPMR_talklr
CXCL16	CXCR6	HPRD	HPRD
CXCL16	CXCR6	HPRD_LRdb	HPRD_LRdb
CXCL16	CXCR6	HPRD_talklr	HPRD_talklr
CXCL16	CXCR6	ICELLNET	ICELLNET
CXCL16	CXCR6	Kirouac2010	Kirouac2010
CXCL16	CXCR6	LRdb	LRdb
CXCL16	CXCR6	Ramilowski2015	Ramilowski2015
CXCL16	CXCR6	Ramilowski2015_Baccin2019	Ramilowski2015_Baccin2019
CXCL16	CXCR6	SPIKE	SPIKE
CXCL16	CXCR6	STRING_talklr	STRING_talklr
CXCL16	CXCR6	Wang	Wang
CXCL16	CXCR6	connectomeDB2020	connectomeDB2020
CXCL16	CXCR6	iTALK	iTALK
CXCL16	CXCR6	scConnect	scConnect
CXCL16	CXCR6	talklr	talklr
CCL3L3	CCR5	Baccin2019	Baccin2019
CCL3L3	CCR5	BioGRID	BioGRID
CCL3L3	CCR5	CellCall	CellCall
CCL3L3	CCR5	CellTalkDB	CellTalkDB
CCL3L3	CCR5	Cellinker	Cellinker
CCL3L3	CCR5	Fantom5_LRdb	Fantom5_LRdb
CCL3L3	CCR5	HPRD	HPRD
CCL3L3	CCR5	HPRD_LRdb	HPRD_LRdb
CCL3L3	CCR5	HPRD_talklr	HPRD_talklr
CCL3L3	CCR5	ICELLNET	ICELLNET
CCL3L3	CCR5	LRdb	LRdb
CCL3L3	CCR5	Ramilowski2015	Ramilowski2015
CCL3L3	CCR5	Ramilowski2015_Baccin2019	Ramilowski2015_Baccin2019
CCL3L3	CCR5	SPIKE	SPIKE
CCL3L3	CCR5	STRING_talklr	STRING_talklr
CCL3L3	CCR5	Wang	Wang
CCL3L3	CCR5	connectomeDB2020	connectomeDB2020
CCL3L3	CCR5	iTALK	iTALK
CCL3L3	CCR5	talklr	talklr
IL10	IL10RA	Baccin2019	Baccin2019
IL10	IL10RA	BioGRID	BioGRID
IL10	IL10RA	CellCall	CellCall
IL10	IL10RA	CellTalkDB	CellTalkDB
IL10	IL10RA	DIP	DIP
IL10	IL10RA	DLRP_talklr	DLRP_talklr
IL10	IL10RA	EMBRACE	EMBRACE
IL10	IL10RA	Fantom5_LRdb	Fantom5_LRdb
IL10	IL10RA	Guide2Pharma	Guide2Pharma
IL10	IL10RA	HPMR_LRdb	HPMR_LRdb
IL10	IL10RA	HPMR_talklr	HPMR_talklr
IL10	IL10RA	HPRD	HPRD
IL10	IL10RA	HPRD_LRdb	HPRD_LRdb
IL10	IL10RA	HPRD_talklr	HPRD_talklr
IL10	IL10RA	InnateDB	InnateDB
IL10	IL10RA	IntAct	IntAct
IL10	IL10RA	Kirouac2010	Kirouac2010
IL10	IL10RA	LRdb	LRdb
IL10	IL10RA	Lit-BM-17	Lit-BM-17
IL10	IL10RA	Ramilowski2015	Ramilowski2015
IL10	IL10RA	Ramilowski2015_Baccin2019	Ramilowski2015_Baccin2019
IL10	IL10RA	SIGNOR	SIGNOR
IL10	IL10RA	SPIKE	SPIKE
IL10	IL10RA	STRING_talklr	STRING_talklr
IL10	IL10RA	SignaLink3	SignaLink3
IL10	IL10RA	UniProt_LRdb	UniProt_LRdb
IL10	IL10RA	Wang	Wang
IL10	IL10RA	connectomeDB2020	connectomeDB2020
IL10	IL10RA	iTALK	iTALK
IL10	IL10RA	scConnect	scConnect
IL10	IL10RA	talklr	talklr
FLT3LG	FLT3	Baccin2019	Baccin2019
FLT3LG	FLT3	CellCall	CellCall
FLT3LG	FLT3	CellChatDB	CellChatDB
FLT3LG	FLT3	CellPhoneDB	CellPhoneDB
FLT3LG	FLT3	CellTalkDB	CellTalkDB
FLT3LG	FLT3	Cellinker	Cellinker
FLT3LG	FLT3	DLRP_talklr	DLRP_talklr
FLT3LG	FLT3	Fantom5_LRdb	Fantom5_LRdb
FLT3LG	FLT3	Guide2Pharma	Guide2Pharma
FLT3LG	FLT3	Guide2Pharma_LRdb	Guide2Pharma_LRdb
FLT3LG	FLT3	Guide2Pharma_talklr	Guide2Pharma_talklr
FLT3LG	FLT3	HPMR	HPMR
FLT3LG	FLT3	HPMR_LRdb	HPMR_LRdb
FLT3LG	FLT3	HPMR_talklr	HPMR_talklr
FLT3LG	FLT3	HPRD	HPRD
FLT3LG	FLT3	HPRD_LRdb	HPRD_LRdb
FLT3LG	FLT3	HPRD_talklr	HPRD_talklr
FLT3LG	FLT3	ICELLNET	ICELLNET
FLT3LG	FLT3	KEGG-MEDICUS	KEGG-MEDICUS
FLT3LG	FLT3	Kirouac2010	Kirouac2010
FLT3LG	FLT3	LRdb	LRdb
FLT3LG	FLT3	Ramilowski2015	Ramilowski2015
FLT3LG	FLT3	Ramilowski2015_Baccin2019	Ramilowski2015_Baccin2019
FLT3LG	FLT3	SIGNOR	SIGNOR
FLT3LG	FLT3	SPIKE	SPIKE
FLT3LG	FLT3	STRING_talklr	STRING_talklr
FLT3LG	FLT3	Wang	Wang
FLT3LG	FLT3	connectomeDB2020	connectomeDB2020
FLT3LG	FLT3	iTALK	iTALK
FLT3LG	FLT3	scConnect	scConnect
FLT3LG	FLT3	talklr	talklr
CXCL9	CXCR3	Baccin2019	Baccin2019
CXCL9	CXCR3	BioGRID	BioGRID
CXCL9	CXCR3	CellCall	CellCall
CXCL9	CXCR3	CellChatDB	CellChatDB
CXCL9	CXCR3	CellPhoneDB	CellPhoneDB
CXCL9	CXCR3	CellPhoneDB_Cellinker	CellPhoneDB_Cellinker
CXCL9	CXCR3	CellTalkDB	CellTalkDB
CXCL9	CXCR3	Cellinker	Cellinker
CXCL9	CXCR3	DIP	DIP
CXCL9	CXCR3	DLRP_Cellinker	DLRP_Cellinker
CXCL9	CXCR3	DLRP_talklr	DLRP_talklr
CXCL9	CXCR3	Fantom5_LRdb	Fantom5_LRdb
CXCL9	CXCR3	Guide2Pharma	Guide2Pharma
CXCL9	CXCR3	Guide2Pharma_Cellinker	Guide2Pharma_Cellinker
CXCL9	CXCR3	Guide2Pharma_LRdb	Guide2Pharma_LRdb
CXCL9	CXCR3	Guide2Pharma_talklr	Guide2Pharma_talklr
CXCL9	CXCR3	HPMR_Cellinker	HPMR_Cellinker
CXCL9	CXCR3	HPMR_LRdb	HPMR_LRdb
CXCL9	CXCR3	HPMR_talklr	HPMR_talklr
CXCL9	CXCR3	HPRD	HPRD
CXCL9	CXCR3	HPRD_LRdb	HPRD_LRdb
CXCL9	CXCR3	HPRD_talklr	HPRD_talklr
CXCL9	CXCR3	ICELLNET	ICELLNET
CXCL9	CXCR3	KEGG-MEDICUS	KEGG-MEDICUS
CXCL9	CXCR3	Kirouac2010	Kirouac2010
CXCL9	CXCR3	LRdb	LRdb
CXCL9	CXCR3	Ramilowski2015	Ramilowski2015
CXCL9	CXCR3	Ramilowski2015_Baccin2019	Ramilowski2015_Baccin2019
CXCL9	CXCR3	SIGNOR	SIGNOR
CXCL9	CXCR3	SPIKE	SPIKE
CXCL9	CXCR3	STRING_talklr	STRING_talklr
CXCL9	CXCR3	UniProt_LRdb	UniProt_LRdb
CXCL9	CXCR3	Wang	Wang
CXCL9	CXCR3	connectomeDB2020	connectomeDB2020
CXCL9	CXCR3	iTALK	iTALK
CXCL9	CXCR3	scConnect	scConnect
CXCL9	CXCR3	talklr	talklr
CCL5	CCR5	Baccin2019	Baccin2019
CCL5	CCR5	BioGRID	BioGRID
CCL5	CCR5	CellCall	CellCall
CCL5	CCR5	CellChatDB	CellChatDB
CCL5	CCR5	CellPhoneDB	CellPhoneDB
CCL5	CCR5	CellPhoneDB_Cellinker	CellPhoneDB_Cellinker
CCL5	CCR5	CellTalkDB	CellTalkDB
CCL5	CCR5	Cellinker	Cellinker
CCL5	CCR5	DIP	DIP
CCL5	CCR5	DLRP_Cellinker	DLRP_Cellinker
CCL5	CCR5	DLRP_talklr	DLRP_talklr
CCL5	CCR5	Fantom5_LRdb	Fantom5_LRdb
CCL5	CCR5	Guide2Pharma	Guide2Pharma
CCL5	CCR5	Guide2Pharma_Cellinker	Guide2Pharma_Cellinker
CCL5	CCR5	Guide2Pharma_LRdb	Guide2Pharma_LRdb
CCL5	CCR5	Guide2Pharma_talklr	Guide2Pharma_talklr
CCL5	CCR5	HPMR_Cellinker	HPMR_Cellinker
CCL5	CCR5	HPMR_LRdb	HPMR_LRdb
CCL5	CCR5	HPMR_talklr	HPMR_talklr
CCL5	CCR5	HPRD	HPRD
CCL5	CCR5	HPRD_LRdb	HPRD_LRdb
CCL5	CCR5	HPRD_talklr	HPRD_talklr
CCL5	CCR5	ICELLNET	ICELLNET
CCL5	CCR5	InnateDB	InnateDB
CCL5	CCR5	IntAct	IntAct
CCL5	CCR5	KEGG-MEDICUS	KEGG-MEDICUS
CCL5	CCR5	LRdb	LRdb
CCL5	CCR5	Lit-BM-17	Lit-BM-17
CCL5	CCR5	ProtMapper	ProtMapper
CCL5	CCR5	REACH_ProtMapper	REACH_ProtMapper
CCL5	CCR5	Ramilowski2015	Ramilowski2015
CCL5	CCR5	Ramilowski2015_Baccin2019	Ramilowski2015_Baccin2019
CCL5	CCR5	SPIKE	SPIKE
CCL5	CCR5	STRING_talklr	STRING_talklr
CCL5	CCR5	Wang	Wang
CCL5	CCR5	connectomeDB2020	connectomeDB2020
CCL5	CCR5	iTALK	iTALK
CCL5	CCR5	scConnect	scConnect
CCL5	CCR5	talklr	talklr
CCL8	CCR5	CellCall	CellCall
CCL8	CCR5	CellPhoneDB	CellPhoneDB
CCL8	CCR5	CellPhoneDB_Cellinker	CellPhoneDB_Cellinker
CCL8	CCR5	CellTalkDB	CellTalkDB
CCL8	CCR5	Cellinker	Cellinker
CCL8	CCR5	DIP	DIP
CCL8	CCR5	DLRP_Cellinker	DLRP_Cellinker
CCL8	CCR5	DLRP_talklr	DLRP_talklr
