Gene	mean_expression	Log2_mean_expression	zscore
RP11-34P13.7	0.006246048	0.008983117098561023	0.02432855570331771
AL627309.1	0.028149551	0.04005012911711326	0.10850536567877879
RP11-34P13.9	0.000196591	0.00028359298578221155	0.0007569876464663416
AP006222.2	0.202568572	0.26611916065958	0.7210447981199406
RP4-669L17.10	0.018493879	0.026437309942602145	0.07162110747593489
RP4-669L17.2	0.00010006	0.00014434884413920519	0.00037970232387786587
RP5-857K21.1	0.000275596	0.0003975462039329836	0.001065746608694239
RP5-857K21.4	0.000530291	0.0007648454185258263	0.0020609525902818638
RP11-206L10.3	0.121939403	0.16599475673792768	0.4497553378465737
RP11-206L10.5	0.001116271	0.0016095404613567467	0.004349673953801839
RP11-206L10.2	0.037159383	0.05263761391485531	0.14261145593476457
RP11-206L10.9	0.104969092	0.14400601537058805	0.3901763187065037
LINC00115	0.03240914	0.046014818894679434	0.12466683488183351
FAM41C	0.208300024	0.2729787240292732	0.7396309486625317
RP11-54O7.1	0.00224441	0.0032343709057265713	0.008752190793090605
SAMD11	0.001979983	0.002853687460177134	0.007720719918528137
NOC2L	0.287350799	0.36440523694370575	0.9873532658175069
KLHL17	0.021585858	0.030810458800018585	0.08347025859949066
PLEKHN1	0.013948211	0.019983966304219985	0.05413561898318733
C1orf170	0.000348959	0.0005033535989964195	0.001352434268998831
RP11-54O7.17	0.003839796	0.005529046222799506	0.014969668289969972
HES4	0.215093073	0.28106682478810413	0.7615458505601432
ISG15	1.020919499	1.0150118547673386	2.7501874130027217
AGRN	0.416513518	0.5023443696358882	1.361102635530818
RNF223	0.024899051	0.035481816273261205	0.09612741307954736
C1orf159	0.092555981	0.12770720324252866	0.34601429853829146
RP11-465B22.8	0.269361702	0.3441032207377586	0.9323444687286139
TTLL10-AS1	0.044176572	0.06236569467513884	0.16896992275787961
TTLL10	2.237632114	1.6949390642505544	4.592466402550728
TNFRSF18	0.030632283	0.04352968855502452	0.1179333149591431
TNFRSF4	0.000166471	0.0002401468979592485	0.0006392694353726316
